HHID,State,District,Avg_Education,Education_Intensity,Avg_Age,Age_Category,Household_Size_Calc,Dependency_Ratio
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
25068_1,Madhya Pradesh,Dewas,8.25,99.0,44.25,Middle,12,0.2711864406779661
49814_7,West Bengal,Northtwentyfourparganas,8.2,41.0,41.0,Middle,5,0.1219512195121951
46640_2,Jammu & Kashmir,Kishtwar,7.0,28.0,32.75,Adult,4,0.1221374045801526
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
24563_4,Karnataka,Bangalore,5.0,35.0,20.428571428571427,Young,7,0.3426573426573426
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
25329_1,Jharkhand,Purbi Singhbhum,7.916666666666667,95.0,41.5,Middle,12,0.2891566265060241
